pid,BRAND
94167,BRAND_0
94192,BRAND_0
94252,BRAND_0
94253,BRAND_0
94274,BRAND_0
94300,BRAND_0
94307,BRAND_0
94355,BRAND_0
94376,BRAND_0
94378,BRAND_0
94393,BRAND_0
94425,BRAND_0
94444,BRAND_0
94461,BRAND_0
94462,BRAND_0
94478,BRAND_0
94489,BRAND_0
94490,BRAND_0
94500,BRAND_0
94512,BRAND_0
94665,BRAND_0
94673,BRAND_0
94675,BRAND_0
94678,BRAND_0
94698,BRAND_0
94834,BRAND_0
94860,BRAND_0
95203,BRAND_0
95230,BRAND_0
95271,BRAND_0
95272,BRAND_0
95317,BRAND_0
95359,BRAND_0
95401,BRAND_0
95436,BRAND_0
95447,BRAND_0
95449,BRAND_0
95496,BRAND_0
95510,BRAND_0
95554,BRAND_0
95566,BRAND_0
95633,BRAND_0
95649,BRAND_0
95685,BRAND_0
95709,BRAND_0
95711,BRAND_0
95735,BRAND_0
95737,BRAND_0
95829,BRAND_0
95885,BRAND_0
95886,BRAND_0
95906,BRAND_0
95907,BRAND_0
95960,BRAND_0
95992,BRAND_0
96062,BRAND_0
96127,BRAND_0
96159,BRAND_0
96178,BRAND_0
96187,BRAND_0
96192,BRAND_0
96218,BRAND_0
96261,BRAND_0
96402,BRAND_0
96403,BRAND_0
96408,BRAND_0
96416,BRAND_0
96449,BRAND_0
96502,BRAND_0
96518,BRAND_0
96520,BRAND_0
96549,BRAND_0
96574,BRAND_0
96601,BRAND_0
96606,BRAND_0
96647,BRAND_0
96649,BRAND_0
96650,BRAND_0
96693,BRAND_0
96700,BRAND_0
96773,BRAND_0
96834,BRAND_0
96890,BRAND_0
96914,BRAND_0
96971,BRAND_0
97006,BRAND_0
97165,BRAND_0
97176,BRAND_0
97224,BRAND_0
97243,BRAND_0
97286,BRAND_0
97313,BRAND_0
97364,BRAND_0
97385,BRAND_0
97471,BRAND_0
97508,BRAND_0
97513,BRAND_0
97515,BRAND_0
97529,BRAND_0
97532,BRAND_0
97590,BRAND_0
97609,BRAND_0
97637,BRAND_0
97693,BRAND_0
97715,BRAND_0
97727,BRAND_0
97731,BRAND_0
97799,BRAND_0
97837,BRAND_0
97875,BRAND_0
97876,BRAND_0
97897,BRAND_0
97899,BRAND_0
97919,BRAND_0
97958,BRAND_0
97968,BRAND_0
98001,BRAND_0
98049,BRAND_0
98131,BRAND_0
98183,BRAND_0
98219,BRAND_0
98232,BRAND_0
98253,BRAND_0
98256,BRAND_0
98278,BRAND_0
98293,BRAND_0
98306,BRAND_0
98333,BRAND_0
98336,BRAND_0
98337,BRAND_0
98340,BRAND_0
98349,BRAND_0
98350,BRAND_0
98775,BRAND_0
98776,BRAND_0
98777,BRAND_0
98809,BRAND_0
98810,BRAND_0
98811,BRAND_0
98812,BRAND_0
