pid,DTYPE
63976,DEVICE_TYPE_135
63977,DEVICE_TYPE_135
63978,DEVICE_TYPE_107
63979,DEVICE_TYPE_35
63979,DEVICE_TYPE_88
63980,DEVICE_TYPE_109
63981,DEVICE_TYPE_35
63982,DEVICE_TYPE_107
63983,DEVICE_TYPE_34
63984,DEVICE_TYPE_107
63985,DEVICE_TYPE_155
63986,DEVICE_TYPE_111
63987,DEVICE_TYPE_156
63988,DEVICE_TYPE_135
63989,DEVICE_TYPE_35
63990,DEVICE_TYPE_93
63991,DEVICE_TYPE_135
63992,DEVICE_TYPE_109
63993,DEVICE_TYPE_99
63994,DEVICE_TYPE_111
63995,DEVICE_TYPE_34
63996,DEVICE_TYPE_135
63997,DEVICE_TYPE_109
63998,DEVICE_TYPE_107
63999,DEVICE_TYPE_108
64000,DEVICE_TYPE_135
64001,DEVICE_TYPE_35
64002,DEVICE_TYPE_110
64003,DEVICE_TYPE_99
64004,DEVICE_TYPE_107
64005,DEVICE_TYPE_135
64006,DEVICE_TYPE_135
64007,DEVICE_TYPE_108
64008,DEVICE_TYPE_27
64009,DEVICE_TYPE_108
64010,DEVICE_TYPE_1
64011,DEVICE_TYPE_12
64011,DEVICE_TYPE_35
64012,DEVICE_TYPE_135
64013,DEVICE_TYPE_98
64014,DEVICE_TYPE_109
64015,DEVICE_TYPE_111
64016,DEVICE_TYPE_135
64017,DEVICE_TYPE_156
64018,DEVICE_TYPE_34
64019,DEVICE_TYPE_156
64020,DEVICE_TYPE_27
64021,DEVICE_TYPE_109
64021,DEVICE_TYPE_111
64022,DEVICE_TYPE_103
64023,DEVICE_TYPE_34
64024,DEVICE_TYPE_109
64025,DEVICE_TYPE_107
64026,DEVICE_TYPE_107
64027,DEVICE_TYPE_151
64028,DEVICE_TYPE_95
64029,DEVICE_TYPE_102
64030,DEVICE_TYPE_35
64031,DEVICE_TYPE_34
64031,DEVICE_TYPE_88
64032,DEVICE_TYPE_95
64033,DEVICE_TYPE_108
64034,DEVICE_TYPE_107
64035,DEVICE_TYPE_34
64035,DEVICE_TYPE_135
64036,DEVICE_TYPE_108
64037,DEVICE_TYPE_135
64038,DEVICE_TYPE_35
64039,DEVICE_TYPE_53
64040,DEVICE_TYPE_35
64041,DEVICE_TYPE_107
64042,DEVICE_TYPE_108
64043,DEVICE_TYPE_108
64044,DEVICE_TYPE_109
64045,DEVICE_TYPE_23
64046,DEVICE_TYPE_35
64047,DEVICE_TYPE_109
64048,DEVICE_TYPE_99
64048,DEVICE_TYPE_135
64049,DEVICE_TYPE_108
64050,DEVICE_TYPE_35
64050,DEVICE_TYPE_88
64051,DEVICE_TYPE_111
64052,DEVICE_TYPE_105
64053,DEVICE_TYPE_34
64054,DEVICE_TYPE_109
64055,DEVICE_TYPE_119
64056,DEVICE_TYPE_12
64056,DEVICE_TYPE_35
64057,DEVICE_TYPE_156
64058,DEVICE_TYPE_109
64059,DEVICE_TYPE_109
64060,DEVICE_TYPE_108
64061,DEVICE_TYPE_102
64062,DEVICE_TYPE_34
64062,DEVICE_TYPE_88
64063,DEVICE_TYPE_107
64064,DEVICE_TYPE_109
64065,DEVICE_TYPE_34
64066,DEVICE_TYPE_36
64067,DEVICE_TYPE_99
64068,DEVICE_TYPE_107
64069,DEVICE_TYPE_34
64070,DEVICE_TYPE_35
64071,DEVICE_TYPE_93
64072,DEVICE_TYPE_111
64073,DEVICE_TYPE_34
64074,DEVICE_TYPE_27
64075,DEVICE_TYPE_34
64076,DEVICE_TYPE_35
64077,DEVICE_TYPE_35
64078,DEVICE_TYPE_107
64079,DEVICE_TYPE_35
